Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	483.6293	0	460	1105	2857	4205	651	2.5	200	0	0	485.4874	1	1	
2	0	495.9278	0	460	1105	2857	4205	551	-0.5	200	0	0	499.0187	1	0	
3	0	528.8063	0	460	1105	2857	4205	851	11.5	200	0	0	529.7170	1	0	
4	0	537.7950	0	730	2058	2857	4205	1001	14.5	200	1	1	540.0953	1	0	
5	0	563.4893	1	460	1105	2857	4205	501	8.5	200	0	0	564.4982	1	0	
6	0	568.1071	0	460	1105	2857	4205	801	5.5	200	0	1	570.3581	0	1	
7	1	577.3112	0	460	1105	2857	4205	801	5.5	200	0	0	578.2547	1	1	
8	0	583.4099	0	730	2058	2857	4205	601	2.5	200	1	0	584.7915	0	0	
9	1	592.2213	0	730	2058	2857	4205	601	2.5	200	1	1	593.2383	1	0	
10	0	650.6859	0	730	2058	2857	4205	951	8.5	200	1	-1	-1.0000	0	1	
11	0	870.1750	0	460	1105	2857	4205	701	14.5	200	0	-1	-1.0000	0	1	
